prefix,a,b,c,d,e,f,g
sample_000001,0.2739233746429086,-0.4604265724722594,-0.4590264760638053,-0.9669447289429418,0.6265404784005448,0.4127555772777217,0.10663577576717986
sample_000002,0.4589931219679968,0.08724998293084574,0.4350724237877682,0.6317071082430643,-0.9945229996597038,0.35740427658756935,-0.46641442469453565
sample_000003,0.45931089285988813,-0.648688758794882,0.3631789223498866,0.08292244049818343,-0.40057621892523043,-0.07731277880234155,-0.47168032885453703
sample_000004,-0.7514334470008721,0.34124882938726064,0.1471895115742501,0.2307702229625077,-0.23264489147623313,0.497209935789211,0.4808353387762301
sample_000005,0.3710839689613894,0.3009185525356326,0.18844673057094008,-0.22215715204179243,-0.7298069899551776,0.2214883401940817,0.025354322475725888
sample_000006,-0.3795162488820887,-0.028329282336421846,0.38948783434900025,0.8680870319124994,-0.28440960658185954,0.07152983072976093,-0.17813060892405785
sample_000007,0.1886000603993936,-0.3241775489857335,-0.10838099947183877,0.7805487040095846,-0.5456848129332406,0.12318714468604242,-0.4159846564176152
sample_000008,0.6652882953067956,0.5741966149773667,-0.26063055700704785,0.7529684616214076,-0.8828639303896113,-0.16388293945433963,-0.34972053310516094
sample_000009,-0.09932126670142605,0.5926485405745885,-0.26935779100625257,-0.8959573978711808,-0.1908963203569436,-0.30148695549074467,-0.4092469543808781
sample_000010,0.16066477197370133,-0.4026077343621548,0.17199487795635937,-0.6009691120635734,0.8842262210129956,-0.13488983175517144,-0.3945047204297705
